Comment,Designator,Footprint,JLCPCB Part
XINGLIGHT XL-3528RGBW-WS2812B,LED82,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED83,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED84,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED85,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED86,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED87,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED88,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED89,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED90,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED91,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED92,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED93,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED94,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED95,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED96,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED97,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED98,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED99,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED100,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED101,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED102,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED103,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED104,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED105,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED106,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED107,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED108,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED109,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED110,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED111,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED112,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED113,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED114,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED115,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED116,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED117,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED118,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED119,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED120,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED121,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED122,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED123,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED124,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED125,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED126,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED127,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED128,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED129,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED130,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED131,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED132,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED133,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED134,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED135,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED136,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED137,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED138,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED139,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED140,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED141,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED142,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED143,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED144,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED145,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED146,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED147,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED148,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED149,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED150,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED151,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED152,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED153,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED154,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED155,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED156,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED157,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED158,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED159,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED160,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED161,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED162,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED163,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED164,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED165,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED166,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED167,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED168,SMD_4,C2890364
XINGLIGHT XL-3528RGBW-WS2812B,LED169,SMD_4,C2890364
